CardID,CustomerID,StaffID,CardType,RegistrationDate,AccumulatedPoints
CARD_90cc6742,f933079b-d869-4423-a5d5-fdc79ade750d,bc86d90f-5394-4c1b-bcfa-c7ab2b7d2961,MEMBERSHIP,2024-02-03,22.63
CARD_e3be4d5c,234060cf-4324-4b06-a582-21112a83d1ef,e1007b24-1d38-425e-8ce3-7e21bb705ba7,GOLD,2024-06-18,164.02
CARD_441d4174,311fc024-3baf-4f06-854b-aa2945fb84be,cfa14d7c-552c-41db-a319-4a372154d993,GOLD,2024-07-01,290.64
CARD_28ad3b50,311fc024-3baf-4f06-854b-aa2945fb84be,bfd2907d-9e0b-46be-bfbd-a8edeba93509,MEMBERSHIP,2024-05-04,0
CARD_8f41b71c,4aff9b6a-d003-4f65-b8a7-c99473f58727,f33ea86d-30df-4260-b686-de59cd7ce0ea,SILVER,2024-10-01,229.68
CARD_03eb6f5d,7b298f8a-b540-4c2f-b51a-3eb677642431,a3d732e5-2ffd-4a62-9fd2-1769184a176a,SILVER,2024-01-01,294.66
CARD_de0a0f1c,62ec9d2d-5ee3-4d7b-8fea-7b87d53c674b,2c23657f-dce2-475d-903d-e55bcf9b2c48,SILVER,2024-10-21,87.14
CARD_0682c80c,5816465f-1067-4865-beee-9a31f40bec26,845cae77-40dc-4bb5-8242-154dcddc4fbc,SILVER,2024-06-15,75.48
CARD_d31be2fa,c1cf0b58-4613-4705-a6f1-c74085d962e0,0ebe4377-34df-4660-a05a-357834a3e2a2,MEMBERSHIP,2024-11-20,17.67
CARD_f1686942,4c4fc92c-e7ce-4c01-9ebc-b7385d21f8b0,e04a252d-3a55-41c5-b812-2e9ad66e62d9,MEMBERSHIP,2024-06-25,25.11
CARD_aa90db74,ae73f29a-da83-48fa-bf28-88440491285e,23fc921d-364a-482c-848c-424d9f612556,GOLD,2024-10-24,178.84
CARD_46062e42,00a5e2b2-bee0-4e4c-982e-7cdd14fc520f,326f7918-3ec3-49eb-977e-9f6819e018e5,GOLD,2023-05-24,145.27
CARD_ce8ba20a,8bce8fc1-4896-44ba-8758-fcbb59da20f0,c0102028-c3c0-4bc6-bb35-815b96ed9272,SILVER,2023-10-10,78.15
CARD_95e7d621,8bce8fc1-4896-44ba-8758-fcbb59da20f0,7198946a-05b8-45ba-bed0-96396665c2b6,MEMBERSHIP,2023-06-08,0
CARD_a22247d7,dbbb7ecb-4dfd-4439-b1c3-133935a94295,ee9bf85f-bb12-45d3-8de2-50a585ce1abe,GOLD,2023-04-17,277.64
CARD_c47a2eb0,4cb6d388-e061-425d-bfbe-3e1d78ac8b21,78c8fac5-0a92-4b41-ba9c-3ad324fefbf9,SILVER,2023-01-26,128.46
CARD_95519061,13a5eccb-e68e-476a-abe1-605a705954af,97f51e95-04b1-49f1-b801-bbbc2de10a78,SILVER,2023-08-16,64.45
CARD_bb8e2949,7de32f3d-9374-47f1-b24a-cdad579e34eb,de8009ba-8775-4615-9031-032faf554d50,GOLD,2023-07-22,218.52
CARD_810468a9,29ffc5ac-54c7-4e5a-9231-f1a90a47705b,2a99717c-63e2-4e31-9212-8134cd423712,GOLD,2023-07-06,268.99
CARD_bf7a2985,fb9ca7de-c470-40c3-bb6c-f5600462a702,df2da184-bed0-40d6-887c-9cf0786add56,SILVER,2023-09-17,270.13
CARD_8ad63b23,fb9ca7de-c470-40c3-bb6c-f5600462a702,338f5f2f-b1f6-4512-bb60-5da91cf4da4f,MEMBERSHIP,2023-07-30,0
