BranchID,RegionID,BranchName,Address,BranchPhoneNumber,OpeningTime,ClosingTime,HasCarParking,HasBikeParking,DeliveryService,ManagerID
4652178d-b33b-452b-9f06-bbf397b0015d,1764,Sushi X - Cần Thơ 88,"131 Lê Lợi, Liên Chiểu, Cần Thơ",02920385976,10:00,22:30,0,1,1,
aa359207-bbb5-40fa-8550-3ee1039b3937,4320,Sushi X - Hà Nội 48,"619 Hai Bà Trưng, Thanh Khê, Hà Nội",0245917408,10:30,21:30,1,1,0,
72496c17-9c93-4c0d-991b-90593791f581,1628,Sushi X Premium - Biên Hòa 57,"317 Lê Thánh Tôn, Quận 1, Biên Hòa",02512659719,10:00,22:30,0,1,1,
b1ac9895-1f70-4f36-9e15-ebb50fe21aae,1113,Sushi X Premium - Đà Nẵng 86,"369 Phan Chu Trinh, Hoàn Kiếm, Đà Nẵng",02369660785,10:00,22:30,1,1,0,
5c6a2e89-1601-4070-8e8d-7b3efbb8b863,989,Sushi X Premium - Huế 11,"150 Phan Chu Trinh, Hoàn Kiếm, Huế",02346984182,11:30,22:30,0,1,1,
63512656-f12a-4bb3-bcb5-abe41a7d47c1,6452,Sushi X Express - Huế 43,"929 Điện Biên Phủ, Quận 3, Huế",02346222513,10:30,21:00,1,1,0,
db1b84c7-607d-4603-b36e-efa497f78bbd,760,Sushi X Express - Cần Thơ 19,"254 Nguyễn Huệ, Sơn Trà, Cần Thơ",02929738069,11:30,21:00,1,1,0,
09910952-abc0-46ff-9af7-a64881d3de5c,7427,Sushi X - Biên Hòa 41,"152 Phan Chu Trinh, Ngũ Hành Sơn, Biên Hòa",02513214421,11:00,21:30,0,1,1,
3deb5284-4b38-4b2e-8d64-9609ee24d7ee,2777,Sushi X Express - Nha Trang 60,"218 Nguyễn Huệ, Quận 3, Nha Trang",02582707397,10:30,21:30,1,1,1,
631ff86a-54b3-41f7-a418-3212e07d07f9,3150,Sushi X Premium - Nha Trang 12,"925 Hai Bà Trưng, Quận 3, Nha Trang",02581321683,11:30,21:00,1,1,0,
226711ca-b0e4-402a-a297-649fef9ea2d6,441,Sushi X Premium - Huế 21,"86 Phan Chu Trinh, Hải Châu, Huế",02344537370,11:00,22:00,0,1,0,
b357b398-768a-4e7e-b67e-3e9d36d64776,8785,Sushi X Premium - Cần Thơ 38,"574 Phan Chu Trinh, Thanh Khê, Cần Thơ",02927969349,11:00,21:30,1,1,1,
cb38d342-e0b2-4465-a9a5-f9d6d0cec6b9,1839,Sushi X Express - Đà Nẵng 1,"10 Lê Thánh Tôn, Hoàn Kiếm, Đà Nẵng",02365818269,10:30,22:30,0,1,0,
ba12c1a9-2060-4219-aab4-8d2acdd1a95d,1269,Sushi X Premium - Đà Nẵng 12,"545 Điện Biên Phủ, Quận 3, Đà Nẵng",02369337287,11:30,21:30,0,1,1,
0b2de211-6901-446d-b060-5e6c7e823b96,3340,Sushi X Premium - TP.HCM 82,"888 Lê Thánh Tôn, Hoàn Kiếm, TP.HCM",0285768970,11:00,22:30,0,1,1,
e60d2197-0b17-4ed4-b31c-95764e82df5b,1209,Sushi X Express - TP.HCM 90,"29 Nguyễn Du, Hải Châu, TP.HCM",0283726559,11:30,22:30,1,1,0,
f8214f85-d8a3-4ade-86db-9225462fdfde,5050,Sushi X Express - Huế 84,"640 Hai Bà Trưng, Cầu Giấy, Huế",02349825580,10:00,21:30,0,1,1,
e17db791-48f2-4737-8a4d-bbdb7f3db32b,3767,Sushi X Premium - Huế 49,"876 Nguyễn Du, Quận 2, Huế",02348650066,11:30,22:00,0,1,0,
729f9337-cb7f-4506-9cf0-426c02ce83f8,5170,Sushi X Express - Huế 47,"782 Nguyễn Du, Liên Chiểu, Huế",02348698305,11:00,22:00,1,1,1,
